period,n,comparison,model,spec,oos_r2_pct,cw_t,cw_p,sig
2011-02 to 2019-12,107,vs historical mean,ols,base,-21.18875396561497,1.6984159368320983,0.044714643149981664,**
2011-02 to 2019-12,107,vs historical mean,enet,base,0.8815681688036592,1.9118149324484681,0.027949967894078925,**
2011-02 to 2019-12,107,vs historical mean,rf,base,-0.7857707873598851,1.3081995776799888,0.09540281264833397,*
2011-02 to 2019-12,107,vs historical mean,gbrt,base,1.1942872855661535,1.25019186986335,0.10561473301421193,
2011-02 to 2019-12,107,vs historical mean,combo,base,1.1863772948870865,1.6123668662137252,0.05344106528682867,*
2011-02 to 2019-12,107,vs historical mean,ols,aug,-20.08341273957759,1.5961459269433074,0.05522810843393332,*
2011-02 to 2019-12,107,vs historical mean,enet,aug,0.9824475086241069,1.7847761306897614,0.03714881825615687,**
2011-02 to 2019-12,107,vs historical mean,rf,aug,-0.8088703493864147,1.3150497521122857,0.09424659114823773,*
2011-02 to 2019-12,107,vs historical mean,gbrt,aug,0.4672851952388757,0.830581921853109,0.20310492546191583,
2011-02 to 2019-12,107,vs historical mean,combo,aug,1.9694397931338536,1.662823676629173,0.04817386787810677,**
2011-02 to 2019-12,107,augmented vs baseline,ols,aug-vs-base,0.9120823425175173,1.7876671645427122,0.03691486114937897,**
2011-02 to 2019-12,107,augmented vs baseline,enet,aug-vs-base,0.1017765696618822,0.7211246472090014,0.23541641393026205,
2011-02 to 2019-12,107,augmented vs baseline,rf,aug-vs-base,-0.02291946754595653,0.23548998646591887,0.40691422499775554,
2011-02 to 2019-12,107,augmented vs baseline,gbrt,aug-vs-base,-0.7357895311462803,-0.25231737660234127,0.5996021210158375,
2011-02 to 2019-12,107,augmented vs baseline,combo,aug-vs-base,0.7924641125481635,1.003372550438975,0.15784057155483505,
2020-01 to 2025-12,72,vs historical mean,ols,base,-7.372614240705144,-1.6460491976676086,0.9501231847585573,
2020-01 to 2025-12,72,vs historical mean,enet,base,-0.214265686845172,-1.1405365886981138,0.8729685908574882,
2020-01 to 2025-12,72,vs historical mean,rf,base,-0.9717476548436466,-0.12721033745882715,0.5506130381272004,
2020-01 to 2025-12,72,vs historical mean,gbrt,base,-2.8134827866592937,-1.50419272810992,0.9337341251964766,
2020-01 to 2025-12,72,vs historical mean,combo,base,-2.8084377579842057,-1.331221240948932,0.9084418878855788,
2020-01 to 2025-12,72,vs historical mean,ols,aug,-9.98467185823233,-0.7309927329319102,0.7676082041321233,
2020-01 to 2025-12,72,vs historical mean,enet,aug,-0.214265686845172,-1.1405365886981138,0.8729685908574882,
2020-01 to 2025-12,72,vs historical mean,rf,aug,0.39580265959672234,0.6564730894984441,0.2557598883773132,
2020-01 to 2025-12,72,vs historical mean,gbrt,aug,-2.3322137521926356,-1.3208238569706443,0.906719948481028,
2020-01 to 2025-12,72,vs historical mean,combo,aug,-2.4581297071538444,-0.7952671559776697,0.7867709427223388,
2020-01 to 2025-12,72,augmented vs baseline,ols,aug-vs-base,-2.432703754116994,0.4886712293974244,0.31253723784098225,
2020-01 to 2025-12,72,augmented vs baseline,enet,aug-vs-base,0.0,,,
2020-01 to 2025-12,72,augmented vs baseline,rf,aug-vs-base,1.3543890704111883,1.2877996953380797,0.09890784918917432,*
2020-01 to 2025-12,72,augmented vs baseline,gbrt,aug-vs-base,0.46809914558123555,1.121490440464195,0.1310395791908422,
2020-01 to 2025-12,72,augmented vs baseline,combo,aug-vs-base,0.3407386188038375,0.955766969359161,0.16959498978579987,
