comparison,model,spec,oos_r2_pct,cw_t,cw_p,sig
vs historical mean,ols,base,-17.228652209359254,0.8480942971103803,0.19819272869662688,
vs historical mean,enet,base,0.29511885460178355,1.3346078569074618,0.09100236258836016,*
vs historical mean,rf,base,-2.5653713757318286,0.7978741895305199,0.21247175140631275,
vs historical mean,gbrt,base,-3.253767279422237,-0.18864339586949241,0.574813840791479,
vs historical mean,combo,base,-1.7431145112934976,0.7551859554729463,0.22506870716983696,
vs historical mean,ols,aug,-20.942972356009328,0.9441129064826983,0.17255597730936778,
vs historical mean,enet,aug,0.3436903897135579,1.3337060616132494,0.09115010372196014,*
vs historical mean,rf,aug,-2.834577800467608,0.7960391231001777,0.21300464801277946,
vs historical mean,gbrt,aug,-3.3383845885624597,-0.3630450552332593,0.6417143860673601,
vs historical mean,combo,aug,-1.7843705005977428,0.8292598550327073,0.2034786909889177,
augmented vs baseline,ols,aug-vs-base,-3.1684405447370168,1.3538319492927602,0.08789499907384735,*
augmented vs baseline,enet,aug-vs-base,0.04871530315646577,0.7217797704725382,0.23521494438699247,
augmented vs baseline,rf,aug-vs-base,-0.2624730170864398,0.16166352553453628,0.43578541452294695,
augmented vs baseline,gbrt,aug-vs-base,-0.08195082016837496,0.5501969378151668,0.2910921518328679,
augmented vs baseline,combo,aug-vs-base,-0.040549170823411806,0.7414838925789307,0.22920004730906468,
